Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X	Y	MT	GL000207.1	GL000226.1	GL000229.1	GL000231.1	GL000210.1	GL000239.1	GL000235.1	GL000201.1	GL000247.1	GL000245.1	GL000197.1	GL000203.1	GL000246.1	GL000249.1	GL000196.1	GL000248.1	GL000244.1	GL000238.1	GL000202.1	GL000234.1	GL000232.1	GL000206.1	GL000240.1	GL000236.1	GL000241.1	GL000243.1	GL000242.1	GL000230.1	GL000237.1	GL000233.1	GL000204.1	GL000198.1	GL000208.1	GL000191.1	GL000227.1	GL000228.1	GL000214.1	GL000221.1	GL000209.1	GL000218.1	GL000220.1	GL000213.1	GL000211.1	GL000199.1	GL000217.1	GL000216.1	GL000215.1	GL000205.1	GL000219.1	GL000224.1	GL000223.1	GL000195.1	GL000212.1	GL000222.1	GL000200.1	GL000193.1	GL000194.1	GL000225.1	GL000192.1	*
CHH11687	12614253	10888089	6802654	5201575	6115158	5823659	7161446	4260458	5760297	5649253	6014254	5684888	2384425	3632694	5672818	5882514	6375801	1981360	5377382	2504917	1425183	2819947	7071277	52896	25528	36	15829	3994	2748	52	1642	486	2665	1432	302	782	140	814	2481	2941	73	7101	8664	134	2654	1946	96	1228	2475	19115	1373	4755	8628	6102	585	420	1458	2302	9802	5119	10133	77549	53576	14536	18920	87279	21724	71944	20647	11362	10338	3535	9707	20513	19811	16084	7720	77730	20104	791	5820	16227	11666	50764	0
CHH26776	13862493	11925339	7376399	5941729	6699041	6375676	7820918	4667938	6491155	6187335	6461760	6172022	2666912	3997839	6162062	6329869	6715077	2177641	5765110	2635295	1573537	2801276	7776883	63400	36079	52	19142	4744	4618	90	1638	604	2715	1418	360	829	212	808	2583	3030	79	10402	8992	152	3396	2266	115	1692	3060	26785	1411	4378	8610	6724	568	538	1880	3149	8778	8655	10611	115947	75508	17848	14099	82133	26620	91149	25660	16282	11641	4399	14191	31184	28755	16467	10383	86626	25964	1539	7926	24575	13011	52300	0
CHH26777	11316114	9801535	6071688	4823147	5529198	5222144	6380265	3972024	5416569	5089625	5308308	5064801	2194372	3297891	5137332	5133818	5506485	1790633	4704838	2157782	1294896	2345867	6316709	55197	27889	25	16463	3970	3702	54	1528	670	2298	1236	308	633	164	674	2171	2457	74	7714	8027	121	3011	2015	72	2117	2372	23012	1201	3935	12865	6475	835	385	1424	2357	8187	6604	10127	94810	65401	21402	14420	71021	23624	81993	20936	12306	11085	3322	12162	24091	19907	12747	8502	77937	19495	1155	6641	18457	12424	43544	0
CHH26778	12156428	10566769	6482962	5251804	5835641	5585255	6817527	4142765	5703914	5400264	5651401	5399505	2367913	3505832	5454990	5552159	5707377	1916259	4983881	2287697	1392303	2389183	3537493	997374	19777	40	19360	3959	4146	56	1396	367	2291	1281	388	644	170	1178	2249	2577	92	9140	8168	114	3023	2134	96	768	2730	25191	1291	3493	2866	4912	218	444	1814	2541	7795	8545	8511	105117	75216	14949	15266	97293	24797	86999	24121	12998	9438	3976	12229	22945	17958	15091	9745	102325	19716	1209	8367	21337	9588	45522	0
CHH26782	17386690	15194781	9400683	7620953	8550582	8167013	9921534	6358750	8304471	7877424	8135934	7746139	3479532	5087631	7714450	7683352	8246639	2851487	7121833	3325208	2008344	3583486	10123877	98355	65548	71	30375	5746	6265	100	2505	1050	3030	1737	724	955	408	1319	3022	3361	192	12078	10549	285	5472	3915	163	2519	3160	35879	2085	5706	7807	10015	539	869	3188	4731	12224	9028	16492	142075	98643	21557	26784	166639	32899	130595	51638	15676	19715	5287	18286	44833	35161	20924	16266	122392	29963	1762	14341	23811	24013	64674	0
CHH26783	14735549	12870143	7972040	6361374	7228601	6880871	8324186	5296774	7332284	6579481	6872225	6540688	2930554	4326696	6189813	6569296	6934090	2366046	5999203	2792019	1690644	3118418	8224360	72060	29370	42	20972	4739	5517	50	1901	943	2646	1792	548	791	285	1198	2691	3198	104	9805	8309	202	4010	2769	143	2854	2818	30974	1814	5575	12076	7749	854	599	2307	3575	9218	10620	13590	121880	88855	17858	23088	132751	25628	114730	34148	12270	13885	4279	15689	33964	24401	16880	12320	102239	26383	1553	11829	18816	17371	54477	0
CHH26784	22968133	20283424	12721925	10317400	11423344	10960466	12857429	8750874	11061165	10482789	10890374	10449998	4742178	6787458	10249251	10318182	10769300	3865577	9301775	4446750	2608201	4498506	7192641	2529282	47726	105	46123	7465	7865	162	3223	1212	4236	2034	1127	1268	477	1939	4267	4710	235	11858	14874	310	6948	5183	259	2700	4685	45076	1816	7668	6298	14117	494	1132	3945	7363	18829	11651	21431	169001	119257	27897	37908	203813	43807	163334	101197	18170	25537	7328	25109	49396	44277	27471	21475	133475	37639	2535	12192	33001	27760	86371	0
CHH6312	7882517	5569277	3954741	2986327	3439141	3257252	4239813	2532264	3459906	3305357	4018886	3287073	1205868	2184261	3823478	4054209	4536306	1048261	4142752	1764858	880912	2133918	2214371	733833	13217	179	8986	2473	928	158	757	396	2422	1184	196	648	43	242	1346	990	169	3904	6895	220	2622	1308	219	823	1328	4941	967	2743	3336	4709	311	1777	856	659	2810	4536	10241	22993	15793	23418	11376	135565	10950	24673	8752	4056	24520	2872	8174	8961	10120	6656	10703	47061	14884	767	10112	13459	17490	37386	0
CHH6316	7811999	5562527	3892492	2890422	3370330	3232687	4171585	2800302	3470135	3271660	3917150	3252497	1201251	2054123	3600206	3983578	4098577	1054233	3981202	1718060	860909	1996946	4020097	77609	12699	138	10496	2436	960	95	677	396	1941	865	201	510	47	591	1490	945	138	2083	6257	269	2688	1305	217	1169	1492	5428	819	2746	3336	3462	336	1457	957	905	3132	4751	8529	22581	18887	18615	14270	61238	8389	25963	10403	5169	21101	2715	8558	9331	11146	6888	10378	58303	15845	897	12694	10178	13700	35277	0
CHH6317	9526793	7059489	4815314	3542850	4167623	4040402	5147524	3231323	4350310	4080215	4746209	4038870	1533213	2561361	4351208	4942402	4930399	1323140	4717953	2071391	1037302	2484631	2712842	886720	16534	169	13816	3100	1302	151	890	469	2282	895	246	785	64	970	1723	1432	149	3066	7089	277	2942	1485	305	992	2003	7945	923	3301	1893	4016	196	1617	1276	1265	4938	6231	10237	29780	26528	22282	14687	88031	13075	34227	16668	7399	22221	3308	10948	12548	13393	9602	11296	55814	18871	1101	11540	12877	15827	45180	0
CHH6536	12074564	8729064	5937630	4034798	5035577	4966284	6480851	3784391	5585680	4849746	5960344	5089917	1763190	3247452	5762053	6173338	6571350	1475535	6329259	2520725	1234890	3242271	3394923	1017215	18398	74	2980	2907	1806	119	1128	162	3680	1117	84	852	22	1087	1908	1727	53	6366	9841	156	3308	1593	122	1198	2671	12015	982	6504	2801	6105	224	909	965	459	5980	6104	8918	41782	35892	36790	19060	55528	13833	47044	4627	9795	5047	4822	14058	17903	18879	11527	13695	70917	25325	1222	17892	21068	6718	53652	0
CHH6537	11871336	8416532	5774730	3964271	4880407	4831934	6312011	4130194	5346382	4707252	5860070	4946391	1705825	3070315	5713233	5939715	6469362	1452367	6335118	2480936	1228533	2977465	6151031	65158	18075	54	3644	2945	1855	72	978	202	3544	1390	94	856	24	800	1725	1631	55	3682	10188	164	3460	1460	82	1853	2301	11862	1028	6051	6664	5149	410	895	975	395	5341	7585	8834	44364	36317	30474	24100	47573	14063	49581	4864	8120	5276	4976	12725	14784	14085	11372	14577	88071	24402	1136	21472	16679	6955	51698	0
CHH6538	13044972	9607786	6438855	4458638	5468989	5401620	7012387	4298907	6035753	5294358	6445279	5522613	1962540	3451610	6174186	6766173	7012488	1650816	6880950	2726382	1366565	3407459	3734591	1147342	21000	70	4131	3505	2222	73	1028	230	3856	1201	103	896	29	1199	2140	1928	95	4889	10464	168	3468	1634	114	1281	2754	14276	1066	5965	2939	5423	279	991	949	409	6879	8827	9462	53091	45684	32518	24544	63788	18898	57973	6293	10970	6245	5102	14675	18909	16546	12654	14910	78198	26587	1268	18504	18561	7493	58178	0
CHH6739	10988410	9498383	6371256	5446011	5599552	5488132	6255675	4376763	5068379	5548907	5454527	5002271	2436169	3291583	4694080	4870720	5071492	2061292	4474841	2341762	1335993	2250123	6302716	194014	35661	213	78658	3657	3221	254	2194	1693	1868	1374	1147	706	405	666	1693	1692	421	4628	4992	486	5005	4338	393	1443	2579	14452	1947	2782	7532	6051	1432	1451	4390	9277	6413	6515	22780	60221	37956	11367	17582	156141	15232	51191	94059	10848	60667	3706	17725	19676	35151	10163	16469	59651	19300	1412	15251	17718	55737	41370	0
CHH6742	11185326	8927345	5669414	4232824	4852327	4847259	6019409	3598050	5128083	4722608	5241247	4813249	1864489	3066315	5036340	5226275	5696002	1522336	4979603	2164621	1173013	2489954	3256131	1088472	18755	16	4159	2980	2229	42	1017	153	2506	975	78	681	31	813	2229	2253	47	6017	6858	61	2119	1122	32	1000	3423	16077	838	3927	5788	5705	369	240	614	554	6810	7969	7339	62461	43681	15272	11514	45163	18748	60671	6312	11036	5054	3431	9526	16255	12623	12754	8004	70952	18730	1047	8134	17932	5315	50272	0
CHH6745	16089298	12498572	8121888	5770642	7011015	6899405	8695612	5439060	7017348	6780045	7676244	6812333	2624149	4389664	7292387	7336425	8454665	2176843	7507628	3230415	1706174	3629072	8775594	69176	25166	66	13552	4629	2786	74	1435	553	3606	1742	231	953	79	1102	3129	2898	82	8174	11841	166	3993	2101	110	2692	3763	19004	1533	5537	13585	8037	857	481	1116	1381	9871	8000	13801	76032	56298	21092	25875	85727	24918	77944	15709	9128	14670	5283	14359	18339	18691	18709	14268	100019	28154	1170	11150	23722	14185	72253	0
CHH7170	13222439	9709463	6544477	4577069	5677830	5448368	7068421	4333000	6076895	5341074	6436440	5492072	2009044	3706744	6353227	6799421	7040179	1687789	6821425	2708864	1406462	3556440	6932350	97094	21600	91	4295	4151	2155	80	1132	466	3314	1433	112	804	25	977	2405	2093	97	7274	9590	158	4204	1761	140	1516	2549	14325	1374	5049	13614	6239	905	801	1238	511	6928	6049	12853	65630	46920	41581	23063	117707	21589	62367	6160	9285	10763	4867	15601	15767	15349	12716	15544	85983	30771	2232	16863	17505	10851	58963	0
CHH7171	13525662	10353189	6744242	5002210	5894315	5705182	7309680	4235852	6067283	5567416	6477110	5686252	2151914	3703136	6327511	6642035	6899442	1778213	6659286	2694489	1431532	3181304	3829980	1293987	31926	62	3514	4330	2407	89	1031	425	2924	1464	120	784	31	851	2493	2302	98	8382	8680	137	3875	1786	93	2312	3851	17115	1371	5073	11178	5215	722	693	1124	738	7164	11509	12335	71832	53992	38207	20351	109256	23144	65975	8641	9197	8865	4701	15660	21259	20215	13747	14210	88949	29646	1534	13243	21328	11004	60932	0
CHH7173	13890834	10723888	6971509	5463043	6304259	5965896	7710310	5287028	6389769	6116357	6742680	5665475	2463879	3859370	6744584	6804238	7024060	2168580	6900550	3069110	1625217	3497417	3800437	1435597	49249	754	9443	6037	4053	810	1656	1835	2743	2211	689	1284	130	517	2356	1673	518	5229	6278	1672	7660	3895	1757	2798	3704	16205	2616	3818	19580	9734	1861	6962	2699	1160	6026	7962	19030	84228	56707	60641	27194	214951	24571	64467	12324	10568	20259	5002	24302	21645	31069	13935	23255	122199	36336	2617	32867	22920	27745	51008	0
CHH7174	13280994	10249691	6557507	5212453	6076034	5672157	7314851	4796118	5932908	5795386	6359257	5383530	2362178	3756008	6090630	6304735	6460890	2049915	6469742	2852643	1518641	3238156	3503761	1418482	48366	584	7391	5572	3774	754	1555	1356	2428	1749	642	1160	102	791	2115	1706	419	8619	6314	1567	6769	3655	1023	2180	3376	16318	2066	3223	16098	9791	1473	5990	2442	1324	6874	9986	17503	78583	56538	54399	27306	181845	22114	68540	11981	9159	18434	4896	22354	26623	34591	13871	20503	90435	33461	2359	29552	21287	23933	48684	0
CHH7176	12905882	9548211	6342582	4518773	5590337	5324994	6953092	3996718	5722874	5257301	6268875	5375004	1966555	3618197	5923733	6578607	6616679	1662626	6456869	2647304	1353371	3361555	6659663	47402	24537	78	4248	3919	2006	63	1187	427	3398	989	104	843	34	1288	2383	2247	77	8365	7908	137	3432	1520	117	662	2229	13169	1032	4879	6234	7010	464	549	911	652	7120	9522	11723	60416	41524	30396	23385	116112	20085	62131	6831	11664	9935	4368	12402	19051	19396	13425	12854	77048	25182	1785	13917	17185	9813	59465	0
CHH7177	13071070	10005753	6498529	4710225	5673470	5528483	7017659	4066052	5943151	5439189	6263992	5528198	2078797	3515303	5979899	6602959	6630834	1721869	6322807	2629949	1369729	3071102	6903478	46596	24287	60	5085	3901	2040	63	1010	446	3051	1522	117	789	22	1322	2457	2349	69	6081	10276	110	3115	1537	104	1425	3099	14367	1167	5686	5090	5455	361	488	882	644	6883	11114	12299	63915	49254	29074	19665	116866	21581	62513	8850	7312	8903	4385	12736	17939	18379	13512	11837	58652	27552	1179	8502	17848	11008	59839	0
CHH7179	14060538	10444243	6982919	5047649	6179559	5924537	7557912	4823086	6118881	5780510	6847743	5888935	2173238	3861299	6384980	7011200	7438443	1834126	7182328	2900476	1495624	3579766	7356236	90691	37353	71	8461	4480	2149	70	1400	603	3958	1926	180	934	43	697	2649	2370	92	9702	9680	190	3705	1793	123	2812	2514	13838	1681	5403	8952	7991	695	623	964	891	7588	7908	13453	61374	48387	38070	23215	115004	21466	61858	13812	9360	15931	5188	14485	16374	18683	15237	13460	85666	30040	938	15995	21286	14725	61330	0
CHH7180	12604785	9118551	6083916	4427266	5621539	5108745	6789388	3915008	5647834	5092094	6092993	5182562	1895478	3388377	5925664	6641950	6625009	1609074	6431056	2609593	1330102	3425538	6381507	82427	34051	69	6493	4139	1916	90	1282	490	3415	1431	151	895	55	510	2352	1921	99	7478	9990	138	3560	1770	128	837	3158	12362	1304	5179	4288	7118	358	615	1144	804	7329	6556	11522	42336	41600	50103	17814	121693	13329	56073	8676	13536	11843	4968	12712	15820	16625	12899	12185	99720	25496	1169	16834	22970	12552	54477	0
CHH7182	5995880	4573835	2962558	2255695	2689717	2508018	3514417	2186966	2892680	2677307	3040918	2533884	1024083	1733906	2658886	3410177	3407687	883644	3609471	1339181	697776	1626209	1815381	609050	23628	54	11309	3878	1114	48	838	391	3455	745	164	510	78	328	819	812	91	2699	2859	125	1463	901	78	796	1200	6815	769	1739	2163	3432	273	364	603	827	3217	3571	6884	27141	17434	9493	9336	182204	8127	30132	16683	6058	20631	1963	5423	6506	7419	5338	4733	51233	10682	617	17434	10358	8474	19131	0
CHH7184	18650179	13654686	9153574	6447156	7924571	7708182	10090634	6314630	8359515	7638241	9097943	7708215	2817291	5045960	8787419	9557289	9942368	2396100	9499021	3846249	1986831	4688615	5164766	1529920	38409	132	5500	6114	2717	101	1583	639	5031	2119	230	1277	76	1302	3193	3062	129	10370	11689	194	4751	2462	203	2101	4155	18614	2022	7308	6436	7407	529	926	1478	1058	9007	14266	15075	86082	66132	32126	29321	135591	23982	75063	11889	13942	19352	7341	18652	26762	26926	18961	19817	116684	37749	1841	26333	31954	16429	79258	0
CHH7185	14529926	10466464	7046136	5011494	6367558	5927063	7753206	5083263	6168711	5800185	7053374	5988095	2165884	3891389	6748721	7232957	7812107	1833321	7579116	3018734	1529581	3903692	7526938	66910	36482	92	7688	4845	1991	77	1501	668	4324	1712	174	927	67	431	2644	2288	137	7992	9239	221	4079	2096	164	2791	3128	13390	1753	5877	8746	8417	752	806	1088	956	7599	8558	13287	58565	48267	43260	24521	119391	22028	57856	11195	8874	15618	5497	14728	19033	21905	14119	15747	93445	26450	996	20621	23577	15868	64430	0
CHH7186	12204734	8684361	5871758	4153807	5346142	4915832	6448774	3876161	5435661	4857535	5936654	4985682	1787278	3246976	5697528	6372802	6442272	1510712	6407212	2542703	1287071	3311028	6169227	62272	28902	83	4988	4213	1762	87	1118	474	3371	1404	130	755	37	801	2185	1743	67	7293	9617	180	4032	1724	155	1470	3396	11428	1334	5144	2454	5431	227	732	1017	692	6274	6308	10699	44809	36991	52522	13634	107258	12278	51028	8609	10842	11526	4585	12151	17025	15770	12434	11932	97303	24671	1259	18444	27183	12501	51669	0
CHH7187	12352401	8925514	5991862	4363857	5447182	5063728	6856192	3895869	5708181	5006315	6037275	5136183	1835502	3278698	5933572	6183402	6797591	1568986	6509735	2582821	1311263	3514468	6516191	58678	29559	83	8483	3948	1736	97	1125	517	3729	1628	178	877	52	1145	2260	1887	102	5362	7892	182	3463	1721	181	1591	3119	11213	1577	5299	7618	7215	575	694	1061	799	5935	10629	11435	49284	40849	46468	21123	123660	20996	55669	7636	9113	14503	4798	12755	18136	20607	12319	13180	79424	25818	1416	12070	24997	13332	54178	0
CHH7188	14316812	10309656	6966064	4909762	6189826	5857415	7943079	4570097	6429146	5810605	7040925	5907797	2124679	3856222	6958324	7187374	7765091	1816127	7646002	3015021	1520433	3945760	4064015	1135333	31511	123	7031	4698	2317	95	1236	752	4225	1800	191	994	55	1229	2506	2249	117	7609	7760	215	4324	2076	224	1848	2931	13889	1804	6176	8818	8076	772	783	1202	726	6592	11532	14473	59144	47794	42318	26181	136114	23769	57440	7157	9724	15901	5683	16276	21966	25434	13904	16154	92665	30002	1200	20990	25998	17675	60395	0
CHH7191	15221585	10692890	7368037	5208486	6310628	6175228	8241003	4985996	6717242	6035992	7488679	6218883	2219126	3988622	7118842	7990416	8247948	1899677	8079127	3218529	1609515	3849540	7745748	70269	43936	146	3314	4654	2219	135	1425	756	4522	1944	147	996	39	1223	2574	2138	133	7108	9701	231	4551	2306	225	2806	3486	13147	1856	6174	10333	8360	962	987	1164	533	7219	8768	14004	61112	43132	64668	23641	165327	21684	56534	4878	11735	17525	5491	15594	15940	21011	13456	17643	117942	31713	1649	21639	26627	18940	65745	0
CHH7193	11890885	8507878	5731341	4066594	5022321	4833794	6530102	3950528	5243271	4779123	5727669	4856304	1746813	3169008	5624850	6071803	6353086	1506388	6115152	2452175	1255043	3135812	6053406	58585	28335	84	6134	3688	1849	80	1151	503	3417	1427	182	717	50	513	2113	1771	79	7063	8998	155	3515	1723	126	1408	2882	11633	1511	4400	7082	5524	567	628	1145	901	5739	5480	12100	50744	41185	30665	23318	111386	18248	51100	7110	9273	14619	3887	12610	16283	18301	11640	12263	76505	24707	1241	15354	19867	13519	50788	0
CHH7194	12697689	9071560	6144644	4344428	5294438	5177422	6831302	4229908	5814943	5104881	6192485	5194653	1867330	3362478	5848888	6599228	6859485	1587845	6643169	2626771	1339942	3249046	3456847	1154779	31656	91	4624	4193	1912	84	1117	620	3687	1856	139	806	35	1037	2169	1945	98	6333	8340	149	3697	1799	120	2197	2856	12330	1755	4881	9940	6412	815	742	931	509	6605	6924	11035	55939	40734	51331	18973	123765	15361	53290	6993	8325	11173	4838	12946	17037	20454	12594	13707	101004	25321	1276	17996	20026	13221	55589	0
CHH7196	13079782	9474230	6388629	4401994	5588495	5340876	7021398	4389883	5784825	5248367	6303164	5382229	1956620	3493540	5994380	6506764	6955722	1666738	6641236	2675692	1388199	3324212	3536850	1203399	25495	98	4959	4501	2277	100	1312	536	3527	1613	121	945	55	1185	2217	2145	72	6675	10297	140	4019	1853	100	2222	3619	14142	1228	5325	10409	7797	816	705	1071	685	6608	10469	12625	62229	39248	22397	21755	122392	16492	56202	6536	10816	12603	4805	12990	14029	13008	12959	14057	86695	27630	1305	18822	25690	13036	56884	0
CHH7197	14380526	10229663	6980746	5053439	5876827	5844515	7852876	4585114	6357226	5753951	7047802	5884584	2121709	3783660	6837771	7409883	7829000	1804982	7570597	3000446	1514736	3741242	7405893	99790	29536	106	5535	4499	2208	114	1574	562	4262	1803	152	954	50	1183	2470	2001	115	6050	11377	206	4232	2006	167	2626	3288	12847	1696	5535	10975	9440	851	1137	1088	680	6690	9014	12469	61618	45102	47472	25564	162461	22357	59571	7569	10701	17379	5546	14156	14713	16288	12979	16896	93272	26446	1800	14875	27059	14315	61713	0
CHH7198	12764114	9035846	6138983	4330173	5517107	5151207	6961734	4101445	5578021	5089865	6121147	5154925	1861197	3372651	6038043	6571427	6740755	1591669	6594578	2603869	1341180	3340304	3572038	1321418	27023	78	4005	4400	1920	77	1136	403	3514	1415	184	865	49	559	2254	1828	106	6276	9999	132	3939	1719	141	1487	3141	12650	1363	5361	6165	6532	480	789	1127	567	6605	6426	11511	49129	41997	25098	24656	122530	20502	56660	7016	9127	11763	4752	13141	18277	16631	12188	13839	85608	27425	1245	17595	25660	9978	52638	0
CHH7199	11234218	8315789	5454115	3600699	4735599	4561642	6597586	3988883	5308451	4709143	5773149	4818437	1693506	3163561	5596379	6745897	7018507	1429016	7070767	2561530	1322002	3301013	5957847	74795	51110	63	2430	4870	2387	77	998	446	4973	1015	82	961	49	764	1596	1651	66	5047	6851	158	2732	1311	165	1857	2720	11894	977	4917	5271	7164	435	780	804	333	8350	7839	13932	52021	32699	29511	20078	199701	17512	58942	4956	10140	9299	4107	9479	13006	11452	12788	9512	131671	24573	1131	28174	24045	12776	38588	0
CHH7201	11348101	8235590	5419721	3710377	4740825	4519260	6647461	3810451	5281731	4682830	5741558	4799361	1665531	3159931	5881978	6592374	6964481	1424541	7034341	2544393	1296561	3442833	5726092	50088	55928	48	5040	5031	2272	91	1001	560	4580	1384	142	899	51	434	1680	1638	80	8432	7117	178	2930	1563	118	2053	2531	12084	1371	4426	6785	5913	555	691	746	626	7559	6362	14441	48664	37258	26237	22420	156197	15124	51135	5698	8851	11928	3982	10472	13637	15742	12652	9987	79126	25706	1140	23322	19185	14904	40209	0
